,count,mean,std,min,25%,50%,75%,max
web_traffic,11187.0,-1.238543250855632e-16,1.0000446977316122,-1.0837670737486185,-1.0837670737486185,0.105378457133954,0.9849839150715907,1.5309770054888854
nb_hyperlinks,11187.0,1.1019859180689853e-16,1.0000446977316124,-1.873491875617361,-0.5731428985351756,0.1343354263988101,0.7438989505609546,2.896689998693176
length_url,11187.0,-1.3973308471191745e-17,1.0000446977316126,-2.429406060322233,-0.731572733959255,-0.1225911765283223,0.5934522778667636,6.115680513374363
longest_words_raw,11187.0,5.5258083499712804e-17,1.0000446977316124,-2.796661681439512,-0.5392436305823632,-0.1973953995523632,0.455670696334795,7.7459688892181795
longest_word_path,11187.0,7.621804620650043e-17,1.0000446977316124,-1.4204989093145286,-1.4204989093145286,0.2700509634931389,0.5996870572236078,4.043903496717291
google_index,11187.0,0.5350853669437741,0.4987897917409158,0.0,0.0,1.0,1.0,1.0
links_in_tags,11187.0,0.48734325444072496,0.3802433680376745,0.0,0.0,0.5,0.7503748031705195,1.0
ratio_extRedirection,11187.0,0.1264517036819167,0.19287022266459483,0.0,0.0,0.0,0.2076393649657444,1.0986122886681098
domain_age_created,11187.0,0.013021695048544784,0.5139173554820538,-0.6626934856386061,-0.4946610379935436,0.0,0.5053389620064564,1.468587037496896
ratio_digits_url,11187.0,0.3358583231140351,0.397537488300695,0.0,0.0,0.0,0.7511936723429177,1.0
safe_anchor,11187.0,0.3714888587471771,0.390977454907405,0.0,0.0,0.2380952381,0.75,1.0
avg_word_path,11187.0,1.4138976274437056,0.955748064007207,0.0,0.0,1.770706060030223,2.043073897471924,5.525452939131784
nb_www,11187.0,0.44855636006078486,0.5016639740132066,0.0,0.0,0.0,1.0,2.0
ratio_extHyperlinks,11187.0,0.46465375157846317,0.33524966068066203,0.0,0.0,0.4994994994994995,0.7490334545021855,1.0
ratio_intHyperlinks,11187.0,0.4979958095183893,0.32423817589289355,0.0,0.2510926746219828,0.5009106141066536,0.74951286523143,1.0
page_rank,11187.0,-8.574530198231297e-17,1.0000446977316122,-1.2554060154974926,-0.8619331469974941,-0.0749874099974969,0.7119583270025003,2.679322669502493
status,11187.0,0.5001340842048807,0.5000223308864283,0.0,0.0,1.0,1.0,1.0
